Firm Name,Category,City,State,Region,Website,Focus/Sector,AUM/Fund Size,Deal Size/Criteria,Priority,Founded,Team Size,Description,Contact Email,UW Foster Relevance,Notes
Cascadia Capital,Investment Banking,Seattle,WA,PNW,cascadiacapital.com,Full-service middle-market,"~100+ employees","Founder/family-owned and PE-backed companies",1,2000,100+,"Leading independent IB; strong financial sponsor relationships; actively recruits from top schools",info@cascadiacapital.com,Direct,"Handshake recruiting; 38 interns in 2025; hires from UW Foster"
Alexander Hutton (Oaklins),Investment Banking,Seattle,WA,PNW,alexanderhutton.com,Middle-market M&A,N/A,"Privately-held PNW companies",2,1986,10-15,"231+ transactions; Oaklins global network affiliate",,Moderate,"Hires experienced bankers; occasional MBA grads via local networks"
Corum Group,Investment Banking,Seattle,WA,PNW,corumgroup.com,Technology M&A,"$20B+ wealth created","Tech companies",2,1985,N/A,"Global leader in tech M&A; 500+ transactions over 37 years",,Low,
ACT Capital Advisors,Investment Banking,Seattle,WA,PNW,actcapitaladvisors.com,"Technology, services, consumer",N/A,"Middle-market sell-side",2,1986,N/A,"96+ closed deals; market share leader in Pacific Northwest; 30+ years",,Moderate,"Occasionally hires analysts; recruits from Foster and regional MBAs"
Merit Investment Bank,Investment Banking,Seattle,WA,PNW,meritinvestmentbank.com,"Technology, manufacturing, services","$10B+ transaction value","Entrepreneur-focused",2,N/A,N/A,"20+ years experience",,Low,
iMerge Advisors,Investment Banking,Bellevue,WA,PNW,imergeadvisors.com,Tech M&A (SaaS/cloud),N/A,"$5M+ revenue companies",2,2001,N/A,"Small to mid-market tech focus",,Low,
Liberty Ridge Advisors,Investment Banking,Seattle,WA,PNW,libertyra.com,Middle-market M&A,N/A,"Family business focus",3,N/A,<10,"Top 25 by Axial (2019-2022); 23+ closed deals",,Low,
Chinook Capital Advisors,Investment Banking,Seattle,WA,PNW,chinookadvisors.com,Sell-side M&A,N/A,N/A,3,N/A,N/A,"50+ years combined experience; 100+ transactions",,Low,
Meridian Capital,Investment Banking,Seattle,WA,PNW,meridianib.com,Middle-market M&A,N/A,"$15M-$200M revenue companies",2,1999,N/A,"90+ transactions; global M&A network affiliation",,Moderate,"Regularly hires analysts from regional B-schools"
Exvere,Investment Banking,Seattle,WA,PNW,N/A,Northwest M&A,"$3B+ transaction value",N/A,3,1991,N/A,"150+ assignments",,Low,
Concord Ventures,Investment Banking,Bellevue,WA,PNW,N/A,Boutique IB,N/A,"$3M-$500M range",3,N/A,N/A,"Business sellers focus",,Low,
Global Ventures Inc.,Investment Banking,Bellevue,WA,PNW,N/A,Full-service IB,N/A,"$5M-$250M revenue; turnarounds",3,1962,N/A,,,Low,
Zachary Scott & Co.,Investment Banking,Seattle,WA,PNW,zacharyscott.com,Pacific NW M&A,N/A,"Ownership transitions",3,1991,N/A,"Direct investing capability; tailored advisory to founders",,Low,"Recruits via local business school alumni"
OneAccord Capital Advisors,Investment Banking,Seattle,WA,PNW,oneaccordcapital.com,Owner-operated businesses,N/A,"$20-200M range",3,N/A,N/A,"Partners are former CEOs/business owners",,Low,"May recruit MBAs with operating backgrounds"
Novelty Hill Capital,Investment Banking,Seattle,WA,PNW,N/A,"Consumer, industrial, tech",N/A,Middle-market,3,N/A,N/A,"Seasoned bankers",,Low,
Rainier Group,Investment Banking,Seattle,WA,PNW,N/A,Wealth management + M&A,N/A,Private company ownership,3,1988,N/A,"Integrated advisory",,Low,
Moss Adams Capital,Investment Banking,Seattle,WA,PNW,N/A,Mid-market M&A,N/A,Mid-market clients,3,N/A,N/A,"IB arm of Moss Adams accounting",,Low,
D.A. Davidson & Co.,Investment Banking,Portland,OR,PNW,dadavidson.com,"Technology, healthcare, industrials","~1,400 employees firm-wide",Full-service,1,N/A,"1,400+","Employee-owned; largest full-service IB HQ'd in PNW",,High,"Active analyst recruiting; targets Pac-12 universities"
Macadam Capital Partners,Investment Banking,Portland,OR,PNW,macadamcapital.com,Pacific Northwest middle-market,"$8B+ in transactions","300+ clients",2,1993,N/A,,,Low,
Veber Partners LLC,Investment Banking,Portland,OR,PNW,veberpartners.com,"Manufacturing, tech, healthcare",N/A,"M&A, private placements, LBOs",2,1989,N/A,"Premier private investment bank in Oregon",,Low,"Hires locally from U of Oregon, Portland State MBAs"
