Firm Name,Category,City,State,Region,Website,Focus/Sector,AUM/Fund Size,Deal Size/Criteria,Priority,Founded,Team Size,Description,Contact Email,Notes
Bain Capital,Private Equity,Boston,MA,Boston/New England,baincapital.com,"Consumer, Healthcare, Tech, Industrials",$105B+,N/A,1,1984,1000+,"Flagship Boston PE; Growth PE pioneer",,"HBS, MIT Sloan, Wharton recruiting"
TA Associates,Private Equity,Boston,MA,Boston/New England,ta.com,"Tech, Healthcare, Financial Services",$33.5B+,N/A,1,1968,N/A,"Growth PE pioneer since 1968",,"HBS, MIT Sloan, Stanford recruiting"
Summit Partners,Private Equity,Boston,MA,Boston/New England,summitpartners.com,"Tech, Healthcare, Business Services",$27B+,"$10-500M per company",1,1984,N/A,"Backed Uber, LinkedIn; global reach",,"HBS, MIT Sloan recruiting"
Thomas H. Lee Partners,Private Equity,Boston,MA,Boston/New England,thl.com,"Healthcare, FinTech, Tech",$25B+,N/A,1,N/A,N/A,"Middle-market growth focus",,"HBS, MIT Sloan, Wharton recruiting"
Berkshire Partners,Private Equity,Boston,MA,Boston/New England,berkshirepartners.com,"Business Services, Communications, Healthcare",$18B+,N/A,1,1984,N/A,"Founded 1984; Burlington Stores, Party City portfolio",,"HBS, MIT Sloan recruiting"
Audax Group,Private Equity,Boston,MA,Boston/New England,audaxgroup.com,Middle-market generalist,$39B,N/A,1,N/A,N/A,"Buy & Build strategy; 2,500+ transactions",,"HBS, Wharton, Columbia recruiting"
Advent International,Private Equity,Boston,MA,Boston/New England,adventinternational.com,"Healthcare, Industrial, Tech",$94B,N/A,1,N/A,N/A,"Global PE with Boston roots",,"HBS, MIT Sloan, INSEAD recruiting"
Charlesbank Capital Partners,Private Equity,Boston,MA,Boston/New England,charlesbank.com,"Business Services, Healthcare, Tech",Multi-billion,"$200M-$1.5B EV",1,1998,N/A,"Spun from Harvard endowment",,"HBS, MIT Sloan recruiting"
HarbourVest Partners,Private Equity,Boston,MA,Boston/New England,harbourvest.com,"Fund of funds, Secondaries",$68B+,N/A,1,N/A,N/A,"Global private markets specialist",,"HBS, MIT Sloan recruiting"
Great Hill Partners,Private Equity,Boston,MA,Boston/New England,greathillpartners.com,Tech-enabled businesses,Multi-billion,N/A,1,N/A,N/A,"First institutional partner to founders",,"HBS, MIT Sloan recruiting"
Nonantum Capital Partners,Private Equity,Boston,MA,Boston/New England,nonantumcapital.com,Family/founder-owned,N/A,N/A,2,N/A,N/A,"Inc.'s Founder-Friendly Investors 2025",,
