Firm Name,Category,City,State,Region,Website,Focus/Sector,AUM/Fund Size,Deal Size/Criteria,Priority,Founded,Team Size,Description,Contact Email,Notes
Evercore,Investment Banking,New York,NY,NYC,evercore.com,"Generalist, Healthcare, Retail",N/A,N/A,1,N/A,~1900,"Elite Boutique; HSW, Columbia, Yale, NYU Stern recruiting",,Blackstone advisory; GE Spinoff
Lazard,Investment Banking,New York,NY,NYC,lazard.com,"Restructuring, Healthcare, Consumer",N/A,N/A,1,N/A,~2600,Elite Boutique; First Republic Bank restructuring,,HSW Columbia Princeton recruiting
Moelis & Company,Investment Banking,New York,NY,NYC,moelis.com,Generalist M&A,N/A,N/A,1,N/A,~1100,Elite Boutique; $334M H1 2025 revenue,,HSW Columbia Penn recruiting
PJT Partners,Investment Banking,New York,NY,NYC,pjtpartners.com,"Restructuring, Healthcare",N/A,N/A,1,N/A,~800,Elite Boutique; $90.2M bankruptcy fees H1 2024,,HSW Columbia recruiting
Centerview Partners,Investment Banking,New York,NY,NYC,centerviewpartners.com,"Healthcare, Services",N/A,N/A,1,N/A,~60 partners,Elite Boutique; $711M H1 2025 M&A revenue (#1 boutique),,Highest pay; HSW Princeton recruiting
Perella Weinberg Partners,Investment Banking,New York,NY,NYC,pwpartners.com,"Generalist, Energy",N/A,N/A,1,N/A,~500,Elite Boutique; $142M H1 2025 revenue,,HSW Columbia Wharton recruiting
Greenhill & Co.,Investment Banking,New York,NY,NYC,greenhill.com,"M&A, Restructuring",N/A,N/A,1,N/A,201-500,Elite Boutique; Acquired by Mizuho 2023 ($550M),,Top 15 programs
Qatalyst Partners,Investment Banking,San Francisco,CA,NYC,qatalyst.com,Technology exclusively,N/A,N/A,1,N/A,~100,"Elite Boutique; Ansys/Synopsys $35B, LinkedIn/Microsoft $28B",,HSW Stanford recruiting
Houlihan Lokey,Investment Banking,Los Angeles,CA,NYC,hl.com,"Restructuring (#1 globally), M&A",N/A,N/A,1,N/A,~2600,Middle-Market; $502M H1 2025 revenue,,#1 globally in restructuring advisory
Jefferies,Investment Banking,New York,NY,NYC,jefferies.com,"Generalist, Leveraged Finance",N/A,N/A,1,N/A,~5000,Middle-Market; Transitioning toward EB status,,
William Blair,Investment Banking,Chicago,IL,NYC,williamblair.com,"Sell-side, Technology",N/A,N/A,1,N/A,~1500,Middle-Market; Top H1 2025 performer,,Employee-owned
